Core,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Ocean,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,P/D integrade + N. pachyderma R,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics,,,,,,,,,,,,
PS1530-3,86.41,19.88,Arctic Ocean,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,100,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,321,,,,,,,,,,,,
PS1529-7,85.39,21.78,Arctic Ocean,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.3,99.3,0.4,0,0.4,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,534,,,,,,,,,,,,
OD-041-04,84.1,11.19,Arctic Ocean,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97,3,0,3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,671,,,,,,,,,,,,
PS1532-1,82.8,16.07,Arctic Ocean,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,99.5,0.5,0,0.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,658,,,,,,,,,,,,
PS2876-1,81.91,-9.44,Arctic Ocean,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,98.3,1.7,0,1.7,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,1043,,,,,,,,,,,,
PS1534-6,81.33,15.3,Arctic Ocean,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1.4,97.6,1,0,1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,410,,,,,,,,,,,,
PS2837-6,81.23,2.38,Arctic Ocean,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8.9,88,3.1,0,3.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,1198,,,,,,,,,,,,
PS1312-3,80.01,1.19,Arctic Ocean,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12.4,84.9,2.7,0,2.7,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,404,,,,,,,,,,,,
PS1309-3,79.99,-3.08,Arctic Ocean,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.6,98.8,0.6,0,0.6,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,483,,,,,,,,,,,,
PS1310-4,79.99,-0.87,Arctic Ocean,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1.6,98,0.3,0,0.3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0.1,,390,,,,,,,,,,,,
PS1313-3,79.99,2.82,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12.3,85.1,2.6,0,2.6,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,607,,,,,,,,,,,,
PS1311-3,79.97,0.18,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2.8,94.8,2.4,0,2.4,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,382,,,,,,,,,,,,
PS1318-4,79.72,2.97,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1.8,97.9,0.3,0,0.3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,329,,,,,,,,,,,,
PS1231-2,79.23,-3.99,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0.2,98,1.6,0,1.6,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,692,,,,,,,,,,,,
PS1232-1,79.03,-1.62,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,100,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,436,,,,,,,,,,,,
