Core,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Ocean,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,P/D integrade + N. pachyderma R,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics
GIK16417-1,10.07,-19.733,North Atlantic,0.6,0.3,0,5.5,5.5,0,21.9,0,,0.9,,1.8,0,2.8,0,0.3,0,0,0,0,2.1,30.5,2.1,,0,2.2,2.8,0,0,0,3,,0,0,,20,4.8,,24.8,0,0.3,,,0,0,0,,318
GIK16413-1,10.02,-19.3,North Atlantic,0.3,1,0,6.3,6.3,0,12.5,0,,0.3,,1,0,1.4,0,0,0,0,0,0,2.1,35.5,2.1,,0,1,3.8,0,0.3,0.3,3.5,,0,0.7,,21.6,8.4,,30,0,0,,,0,0,0.3,,261
GeoB1047-3,9.97,-22.358,North Atlantic,2.5,0.3,1.6,28.8,30.4,0,16.1,9.8,,0.1,,5,0,3.6,0,1.1,0,0,0,0,2.7,9.8,2.7,,0,1.2,1.3,0.1,0,0.1,0.9,,0,0.6,,5.9,2.5,,8.4,0.1,6.3,,,0,0,0,,836
GIK16420-1,9.93,-17.533,North Atlantic,0.2,0,0.1,37.8,37.9,0.7,16,0,,0,,1.8,0,12.2,0,0,0,0,0.7,0,5.9,11.4,5.9,,0,0,4,0,0.4,0.4,0.5,,0,1.3,,2.8,0.2,,3,0,4,,,0,0,0,,275
GIK16421-1,9.92,-17.867,North Atlantic,2.6,0,0,28.1,28.1,0,22.9,0.1,,0.3,,2.8,0.7,4,0,0,0,0,0,0,3.8,9.8,3.8,,0,0.2,1.3,0,0.3,0.3,2.8,,0,1.3,,13.2,2.3,,15.5,0,2.6,,,0,0,0.7,,380
GIK16419-1,9.90,-16.733,North Atlantic,0.7,0,0.1,39.9,40,0.8,16.9,0,,0,,3.7,0.2,11.8,0,0.4,0,0,0,0,2.8,9.6,2.8,,0,0.3,1.4,0,0.2,0.2,2.4,,0,0.2,,4.7,0.2,,4.9,0,3.6,,,0,0,0,,575
GIK16416-1,9.87,-19.4,North Atlantic,1.1,1.1,0,6.4,6.4,0,19.2,0.1,,0.4,,1.5,0,1.1,0,0.4,0,0,0,0,4.6,31.8,4.6,,0,2,1.3,0,0.2,0.2,2.4,,0,0,,21.1,4.6,,25.7,0,0.2,,,0,0,0.4,,324
GIK16412-1,9.57,-19.85,North Atlantic,1.8,0.4,0,9,9,0,26.4,0.1,,0.4,,3,1.3,3.4,0,2.3,0,0,0,0,6.3,21.3,6.3,,0,1.3,2.7,0,0.4,0.4,2.2,,0,0.4,,13.7,3.8,,17.8,0,0,,,0,0,0,,472
GIK16415-1,9.57,-19.1,North Atlantic,2.1,0.2,0,22.3,22.3,0.1,25.1,0.1,,0,,3.3,0.4,6.2,0,0.6,0,0,0.1,0,2.6,16.9,2.6,,0,1.9,0.8,0,1,1,0.7,,0,0.4,,9.2,2.4,,11.6,0,3,,,0,0,0.6,,470
GIK16411-1,9.52,-19.9,North Atlantic,1.5,0.6,0,11.9,11.9,0,17.3,0,,0.2,,4.1,0,7.2,0,0.4,0,0,0,0,9.3,25.4,9.3,,0,3,1.5,0,0.9,0.9,1.9,,0,0.7,,9.3,4.1,,13.4,0,0.4,,,0,0,0.4,,357
